TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantType,qCaretaker,qCareAssistant,PlantDate,DBH,PlotSize,PermitNotes,XCoord,YCoord,Latitude,Longitude,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old),Analysis Neighborhoods
168225,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2547 Vallejo St,1,Sidewalk: Curb side : Cutout,Tree,Private,,,0,Width 4ft,,6001190.70767,2117587.71154,37.794558498932695,-122.43986908930563,"(37.794558498932695, -122.43986908930563)",13,9,1,57,27,30
168228,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2547 Vallejo St,4,Sidewalk: Curb side : Cutout,Tree,Private,,,0,Width 4ft,,6001242.69285,2117592.6726,37.79457507971764,-122.43968957023225,"(37.79457507971764, -122.43968957023225)",13,9,1,57,27,30
189160,DPW Maintained,Afrocarpus gracilior :: Fern Pine,100 Kissling St,3,:,Tree,Private,,,2,Width 3ft,,6008158.83722,2109400.58141,37.77247279791805,-122.41517858744545,"(37.77247279791805, -122.41517858744545)",8,2,9,28853,19,20
189158,DPW Maintained,Afrocarpus gracilior :: Fern Pine,100 Kissling St,1,:,Tree,Private,,,2,Width 3ft,,6008181.20874,2109420.17856,37.77252786429867,-122.41510258932298,"(37.77252786429867, -122.41510258932298)",8,2,9,28853,19,20
189161,DPW Maintained,Afrocarpus gracilior :: Fern Pine,100 Kissling St,4,:,Tree,Private,,,2,Width 3ft,,6008149.50016,2109391.65635,37.772447767071924,-122.41521025345712,"(37.772447767071924, -122.41521025345712)",8,2,9,28853,19,20
168226,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2547 Vallejo St,2,Sidewalk: Curb side : Cutout,Tree,Private,,,0,Width 4ft,,6001207.24331,2117589.04604,37.794563104363796,-122.43981196974892,"(37.794563104363796, -122.43981196974892)",13,9,1,57,27,30
269465,Undocumented,Thuja occidentalis 'Emerald' :: Emerald Arborvitae,1670 09th Ave,1,Sidewalk: Curb side : Cutout,Landscaping,Private,,,,3x3,,5993451,2104122,37.75714166100204,-122.46567046283035,"(37.75714166100204, -122.46567046283035)",1,8,4,56,12,14
269478,Planning Code 138.1 required,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,99x Tandang Sora,1,Sidewalk: Curb side : Cutout,Tree,Private,,11/16/2022 12:00:00 AM,3,,,,,,,,,,,,,
269480,Planning Code 138.1 required,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,99x Tandang Sora,3,Sidewalk: Curb side : Cutout,Tree,Private,,11/16/2022 12:00:00 AM,3,,,,,,,,,,,,,
253378,Planning Code 138.1 required,Platanus x hispanica :: Sycamore: London Plane,2 Alpine Ter,2,Sidewalk: Curb side : Cutout,Tree,Private,,,,3x3,,6001556,2108661,37.770068807931295,-122.4379654222497,"(37.770068807931295, -122.4379654222497)",15,5,5,29492,9,3
